delta_frame_time,dns_answers_ttl,is_cc_provider,is_ip_private,delay
14,587,0,1,0.1860105420686399
14,587,0,1,1.558179411014537
19,60,0,1,-2.0460866546106526
17,43,0,1,1.0920839081339737
16,284,0,1,0.08687619921658764
11,49,0,1,0.1490847082155051
18,582,0,1,-0.1650165523713494
17,583,0,1,-0.4905785505330398
18,3582,0,1,-0.6194828281915835
18,282,0,1,-0.29677556225156393
7,49,0,1,0.4643081025066033
7,49,0,1,-0.05630653606607082
12,44,0,1,-0.13221674606501513
15,345,0,1,-0.31810729834314316
17,283,0,1,-1.4438190306783782
18,282,0,1,-2.4392926680447338
18,282,0,1,0.2984429755967646
18,282,0,1,-1.0069916233612457
14,16,0,1,-0.2656923382511494
12,288,0,1,-0.6141732944874628
19,14381,0,1,-1.2957482034746919
16,44,0,1,-0.06608614054981464
16,44,0,1,2.2934225340130956
15,3585,0,1,-1.2832872320670432
15,3585,0,1,-0.46917936139165256
18,282,0,1,0.2349033567276404
14,586,0,1,-1.0516053233930456
12,288,0,1,-1.3499074413974543
15,285,0,1,1.1389936263483285
15,285,0,1,-0.24683166585080965
20,40,0,1,-0.8883481737349244
20,10,1,1,0.18527423405243293
12,86388,0,1,0.40332366626363614
16,284,0,1,-0.6315173269503356
12,3588,0,1,0.9238821573387266
16,60,0,1,-0.4738536477546608
14,28786,0,1,-0.6716523670771554
13,587,0,1,-0.3480662180669151
17,7183,0,1,-0.2772241100141573
15,585,0,1,0.06711073766946224
15,585,0,1,0.36145058384873635
18,3582,0,1,-0.9050594009671361
17,43,0,1,0.11248164352709147
12,288,0,1,1.4938432984622023
20,280,0,1,-1.2172629384411664
12,3588,0,1,0.14191242983823119
12,3588,0,1,-0.6263777450251621
20,280,0,1,-0.39699253094770437
13,86387,0,1,-0.1465637992742234
20,3175,0,1,0.1693378481750839
13,287,0,1,-0.3369181602190073
13,287,0,1,0.8102754569135622
16,44,0,1,-0.27174527614426397
19,3581,0,1,-0.981816892999354
12,288,0,1,0.9766378195260018
12,288,0,1,-0.6124930576508735
17,6070,0,1,-0.17027899737255447
13,587,0,1,0.9856495135896808
13,7187,0,1,0.7608515256263371
17,14400,0,1,0.4349633265120929
15,1785,0,1,-1.0308619551050968
15,86385,0,1,-0.05524769502154858
17,283,0,1,-0.1826141189200126
18,14382,0,1,-1.6595541235621196
15,285,0,1,0.5194747340753413
15,285,0,1,-0.8555330258249311
17,43,0,1,0.7103389524364697
20,3580,0,1,-0.6493522111158538
15,585,0,1,-0.2706808070317282
13,287,0,1,2.916297981849701
11,289,0,1,-0.017231161871233032
12,3588,0,1,0.5652747109586782
16,3584,0,1,0.39851478797456175
17,283,0,1,1.415632997020127
14,586,0,1,-1.9162732412028636
17,13,1,1,3.1370326947617295
12,48,0,1,-0.7945075357456036
15,600,0,1,-0.3596293548857619
18,2382,0,1,-0.40036510362443317
15,900,0,1,0.29688330460862733
13,7187,0,1,-0.8204891396081829
11,289,0,1,0.7207942255023783
14,286,0,1,-0.5443190666682314
12,288,0,1,0.49528368690381785
16,584,0,1,1.6178304163517128
12,288,0,1,-1.2054653356644358
14,3586,0,1,0.29318593152824196
14,3586,0,1,-0.05190873016081391
19,41,0,1,-0.49375323582282205
18,282,0,1,1.5944349678387064
15,3600,0,1,1.1229746579223407
17,283,0,1,1.5565177076447485
20,280,0,1,0.19299589568823336
15,285,0,1,0.6780603036860913
13,587,0,1,0.11311832417266657
13,287,0,1,1.3760721055269547
18,3600,0,1,0.5755931904625249
18,282,0,1,0.21672784119690808
17,583,0,1,0.46808447903443656
17,583,0,1,-0.6579868730397994
13,587,0,1,0.04738659173172964
17,3583,0,1,-0.9578462244845009
17,43,0,1,1.5752182593601083
20,40,0,1,-0.7418521152592136
14,86386,0,1,1.3489060204439551
14,286,0,1,-1.1402088111137245
18,282,0,1,1.9492522899495242
16,285,0,1,0.15869133777645444
13,287,0,1,0.5298150083535085
15,885,0,1,-0.5050739473602863
20,280,0,1,-0.2660084432280236
12,600,0,1,0.3032313584810957
13,587,0,1,-0.33527802213774505
16,14384,0,1,1.5146735857371778
12,588,0,1,-0.06712072467941503
17,583,0,1,1.2160760854000678
16,44,0,1,-1.1049127190121555
14,286,0,1,0.5641778173726836
14,286,0,1,0.23958981235569915
